infinitive_english,mood_english,tense_english,verb_english,form_1s_english,form_2s_english,form_3s_english,form_1p_english,form_2p_english,form_3p_english,infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,gerund_english,pastparticiple,pastparticiple_english
to get rich,Indicative,Present Perfect,I have gotten rich,"have rich, gotten rich","have rich, gotten rich","has rich, gotten rich","have rich, gotten rich","have rich, gotten rich","have rich, gotten rich",enriquecerse,Indicativo,Presente perfecto,me he enriquecido,te has enriquecido,se ha enriquecido,nos hemos enriquecido,os habéis enriquecido,se han enriquecido,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Indicative,Future Perfect,I will have gotten rich,"will have rich, gotten rich","will have rich, gotten rich","will have rich, gotten rich","will have rich, gotten rich","will have rich, gotten rich","will have rich, gotten rich",enriquecerse,Indicativo,Futuro perfecto,me habré enriquecido,te habrás enriquecido,se habrá enriquecido,nos habremos enriquecido,os habréis enriquecido,se habrán enriquecido,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Indicative,Past Perfect,I had gotten rich,"had rich, gotten rich","had rich, gotten rich","had rich, gotten rich","had rich, gotten rich","had rich, gotten rich","had rich, gotten rich",enriquecerse,Indicativo,Pluscuamperfecto,me había enriquecido,te habías enriquecido,se había enriquecido,nos habíamos enriquecido,os habíais enriquecido,se habían enriquecido,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Indicative,Preterite (Archaic),I had gotten rich,,,,,,,enriquecerse,Indicativo,Pretérito anterior,me hube enriquecido,te hubiste enriquecido,se hubo enriquecido,nos hubimos enriquecido,os hubisteis enriquecido,se hubieron enriquecido,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Indicative,Conditional Perfect,I would have gotten rich,"would have rich, gotten rich","would have rich, gotten rich","would have rich, gotten rich","would have rich, gotten rich","would have rich, gotten rich","would have rich, gotten rich",enriquecerse,Indicativo,Condicional perfecto,me habría enriquecido,te habrías enriquecido,se habría enriquecido,nos habríamos enriquecido,os habríais enriquecido,se habrían enriquecido,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Subjunctive,Present,"I get rich, am getting rich",get rich,get rich,get richs,get rich,get rich,get rich,enriquecerse,Subjuntivo,Presente,me enriquezca,te enriquezcas,se enriquezca,nos enriquezcamos,os enriquezcáis,se enriquezcan,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Subjunctive,Imperfect,"I got rich, was getting rich",was getting rich,were getting rich,was getting rich,were getting rich,were getting rich,were getting rich,enriquecerse,Subjuntivo,Imperfecto,me enriqueciera,te enriquecieras,se enriqueciera,nos enriqueciéramos,os enriquecierais,se enriquecieran,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Subjunctive,Future,I will get rich,will get rich,will get rich,will get rich,will get rich,will get rich,will get rich,enriquecerse,Subjuntivo,Futuro,me enriqueciere,te enriquecieres,se enriqueciere,nos enriqueciéremos,os enriqueciereis,se enriquecieren,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to interview,Subjunctive,Present,"I interview, am interviewing",interview,interview,interviews,interview,interview,interview,entrevistar,Subjuntivo,Presente,entreviste,entrevistes,entreviste,entrevistemos,entrevistéis,entrevisten,entrevistando,interviewing,entrevistado,interviewed
to get rich,Subjunctive,Present Perfect,"I have gotten rich, gotten rich","have rich, gotten rich","have rich, gotten rich","has rich, gotten rich","have rich, gotten rich","have rich, gotten rich","have rich, gotten rich",enriquecerse,Subjuntivo,Presente perfecto,me haya enriquecido,te hayas enriquecido,se haya enriquecido,nos hayamos enriquecido,os hayáis enriquecido,se hayan enriquecido,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Subjunctive,Future Perfect,I will have gotten rich,"will have rich, gotten rich","will have rich, gotten rich","will have rich, gotten rich","will have rich, gotten rich","will have rich, gotten rich","will have rich, gotten rich",enriquecerse,Subjuntivo,Futuro perfecto,me hubiere enriquecido,te hubieres enriquecido,se hubiere enriquecido,nos hubiéremos enriquecido,os hubiereis enriquecido,se hubieren enriquecido,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Subjunctive,Past Perfect,I had gotten rich,"had rich, gotten rich","had rich, gotten rich","had rich, gotten rich","had rich, gotten rich","had rich, gotten rich","had rich, gotten rich",enriquecerse,Subjuntivo,Pluscuamperfecto,me hubiera enriquecido,te hubieras enriquecido,se hubiera enriquecido,nos hubiéramos enriquecido,os hubierais enriquecido,se hubieran enriquecido,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Imperative Affirmative,Present,Get rich! Don't get rich!,get rich,get rich,get richs,get rich,get rich,get rich,enriquecerse,Imperativo Afirmativo,Presente,,enriquécete,enriqueceos,,enriquézcase,enriquézcanse,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
to get rich,Imperative Negative,Present,Get rich! Don't get rich!,get rich,get rich,get richs,get rich,get rich,get rich,enriquecerse,Imperativo Negativo,Presente,,no te enriquezcas,no os enriquezcáis,,no se enriquezca,no se enriquezcan,enriqueciéndose,getting rich,enriquecido,"rich, gotten rich"
"to teach, instruct, train, educate",Indicative,Present,"I teach, am teaching",teach,teach,teachs,teach,teach,teach,enseñar,Indicativo,Presente,enseño,enseñas,enseña,enseñamos,enseñáis,enseñan,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Future,I will teach,will teach,will teach,will teach,will teach,will teach,will teach,enseñar,Indicativo,Futuro,enseñaré,enseñarás,enseñará,enseñaremos,enseñaréis,enseñarán,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Imperfect,"I was teaching, used to teach, taught",was teaching,were teaching,was teaching,were teaching,were teaching,were teaching,enseñar,Indicativo,Imperfecto,enseñaba,enseñabas,enseñaba,enseñábamos,enseñabais,enseñaban,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Preterite,I taught,taught,taught,taught,taught,taught,taught,enseñar,Indicativo,Pretérito,enseñé,enseñaste,enseñó,enseñamos,enseñasteis,enseñaron,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Conditional,I would teach,would teach,would teach,would teach,would teach,would teach,would teach,enseñar,Indicativo,Condicional,enseñaría,enseñarías,enseñaría,enseñaríamos,enseñaríais,enseñarían,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Present Perfect,I have taught,have taught,have taught,has taught,have taught,have taught,have taught,enseñar,Indicativo,Presente perfecto,he enseñado,has enseñado,ha enseñado,hemos enseñado,habéis enseñado,han enseñado,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Future Perfect,I will have taught,will have taught,will have taught,will have taught,will have taught,will have taught,will have taught,enseñar,Indicativo,Futuro perfecto,habré enseñado,habrás enseñado,habrá enseñado,habremos enseñado,habréis enseñado,habrán enseñado,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Past Perfect,I had taught,had taught,had taught,had taught,had taught,had taught,had taught,enseñar,Indicativo,Pluscuamperfecto,había enseñado,habías enseñado,había enseñado,habíamos enseñado,habíais enseñado,habían enseñado,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Preterite (Archaic),I had taught,,,,,,,enseñar,Indicativo,Pretérito anterior,hube enseñado,hubiste enseñado,hubo enseñado,hubimos enseñado,hubisteis enseñado,hubieron enseñado,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Indicative,Conditional Perfect,I would have taught,would have taught,would have taught,would have taught,would have taught,would have taught,would have taught,enseñar,Indicativo,Condicional perfecto,habría enseñado,habrías enseñado,habría enseñado,habríamos enseñado,habríais enseñado,habrían enseñado,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Subjunctive,Present,"I teach, am teaching",teach,teach,teachs,teach,teach,teach,enseñar,Subjuntivo,Presente,enseñe,enseñes,enseñe,enseñemos,enseñéis,enseñen,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Subjunctive,Imperfect,"I taught, was teaching",was teaching,were teaching,was teaching,were teaching,were teaching,were teaching,enseñar,Subjuntivo,Imperfecto,enseñara,enseñaras,enseñara,enseñáramos,enseñarais,enseñaran,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Subjunctive,Future,I will teach,will teach,will teach,will teach,will teach,will teach,will teach,enseñar,Subjuntivo,Futuro,enseñare,enseñares,enseñare,enseñáremos,enseñareis,enseñaren,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Subjunctive,Present Perfect,"I have taught, taught",have taught,have taught,has taught,have taught,have taught,have taught,enseñar,Subjuntivo,Presente perfecto,haya enseñado,hayas enseñado,haya enseñado,hayamos enseñado,hayáis enseñado,hayan enseñado,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Subjunctive,Future Perfect,I will have taught,will have taught,will have taught,will have taught,will have taught,will have taught,will have taught,enseñar,Subjuntivo,Futuro perfecto,hubiere enseñado,hubieres enseñado,hubiere enseñado,hubiéremos enseñado,hubiereis enseñado,hubieren enseñado,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Subjunctive,Past Perfect,I had taught,had taught,had taught,had taught,had taught,had taught,had taught,enseñar,Subjuntivo,Pluscuamperfecto,hubiera enseñado,hubieras enseñado,hubiera enseñado,hubiéramos enseñado,hubierais enseñado,hubieran enseñado,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Imperative Affirmative,Present,Teach! Don't teach!,teach,teach,teachs,teach,teach,teach,enseñar,Imperativo Afirmativo,Presente,,enseña,enseñad,,enseñe,enseñen,enseñando,teaching,enseñado,taught
"to teach, instruct, train, educate",Imperative Negative,Present,Teach! Don't teach!,teach,teach,teachs,teach,teach,teach,enseñar,Imperativo Negativo,Presente,,no enseñes,no enseñéis,,no enseñe,no enseñen,enseñando,teaching,enseñado,taught
to dirty,Indicative,Present,"I dirty, am dirtying",dirty,dirty,dirtys,dirty,dirty,dirty,ensuciar,Indicativo,Presente,ensucio,ensucias,ensucia,ensuciamos,ensuciáis,ensucian,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Future,I will dirty,will dirty,will dirty,will dirty,will dirty,will dirty,will dirty,ensuciar,Indicativo,Futuro,ensuciaré,ensuciarás,ensuciará,ensuciaremos,ensuciaréis,ensuciarán,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Imperfect,"I was dirtying, used to dirty, dirtied",was dirtying,were dirtying,was dirtying,were dirtying,were dirtying,were dirtying,ensuciar,Indicativo,Imperfecto,ensuciaba,ensuciabas,ensuciaba,ensuciábamos,ensuciabais,ensuciaban,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Preterite,I dirtied,dirtied,dirtied,dirtied,dirtied,dirtied,dirtied,ensuciar,Indicativo,Pretérito,ensucié,ensuciaste,ensució,ensuciamos,ensuciasteis,ensuciaron,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Conditional,I would dirty,would dirty,would dirty,would dirty,would dirty,would dirty,would dirty,ensuciar,Indicativo,Condicional,ensuciaría,ensuciarías,ensuciaría,ensuciaríamos,ensuciaríais,ensuciarían,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Present Perfect,I have dirtied,have dirtied,have dirtied,has dirtied,have dirtied,have dirtied,have dirtied,ensuciar,Indicativo,Presente perfecto,he ensuciado,has ensuciado,ha ensuciado,hemos ensuciado,habéis ensuciado,han ensuciado,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Future Perfect,I will have dirtied,will have dirtied,will have dirtied,will have dirtied,will have dirtied,will have dirtied,will have dirtied,ensuciar,Indicativo,Futuro perfecto,habré ensuciado,habrás ensuciado,habrá ensuciado,habremos ensuciado,habréis ensuciado,habrán ensuciado,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Past Perfect,I had dirtied,had dirtied,had dirtied,had dirtied,had dirtied,had dirtied,had dirtied,ensuciar,Indicativo,Pluscuamperfecto,había ensuciado,habías ensuciado,había ensuciado,habíamos ensuciado,habíais ensuciado,habían ensuciado,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Preterite (Archaic),I had dirtied,,,,,,,ensuciar,Indicativo,Pretérito anterior,hube ensuciado,hubiste ensuciado,hubo ensuciado,hubimos ensuciado,hubisteis ensuciado,hubieron ensuciado,ensuciando,dirtying,ensuciado,dirtied
to dirty,Indicative,Conditional Perfect,I would have dirtied,would have dirtied,would have dirtied,would have dirtied,would have dirtied,would have dirtied,would have dirtied,ensuciar,Indicativo,Condicional perfecto,habría ensuciado,habrías ensuciado,habría ensuciado,habríamos ensuciado,habríais ensuciado,habrían ensuciado,ensuciando,dirtying,ensuciado,dirtied
to dirty,Subjunctive,Present,"I dirty, am dirtying",dirty,dirty,dirtys,dirty,dirty,dirty,ensuciar,Subjuntivo,Presente,ensucie,ensucies,ensucie,ensuciemos,ensuciéis,ensucien,ensuciando,dirtying,ensuciado,dirtied
to dirty,Subjunctive,Imperfect,"I dirtied, was dirtying",was dirtying,were dirtying,was dirtying,were dirtying,were dirtying,were dirtying,ensuciar,Subjuntivo,Imperfecto,ensuciara,ensuciaras,ensuciara,ensuciáramos,ensuciarais,ensuciaran,ensuciando,dirtying,ensuciado,dirtied
to dirty,Subjunctive,Future,I will dirty,will dirty,will dirty,will dirty,will dirty,will dirty,will dirty,ensuciar,Subjuntivo,Futuro,ensuciare,ensuciares,ensuciare,ensuciáremos,ensuciareis,ensuciaren,ensuciando,dirtying,ensuciado,dirtied
to dirty,Subjunctive,Present Perfect,"I have dirtied, dirtied",have dirtied,have dirtied,has dirtied,have dirtied,have dirtied,have dirtied,ensuciar,Subjuntivo,Presente perfecto,haya ensuciado,hayas ensuciado,haya ensuciado,hayamos ensuciado,hayáis ensuciado,hayan ensuciado,ensuciando,dirtying,ensuciado,dirtied
to dirty,Subjunctive,Future Perfect,I will have dirtied,will have dirtied,will have dirtied,will have dirtied,will have dirtied,will have dirtied,will have dirtied,ensuciar,Subjuntivo,Futuro perfecto,hubiere ensuciado,hubieres ensuciado,hubiere ensuciado,hubiéremos ensuciado,hubiereis ensuciado,hubieren ensuciado,ensuciando,dirtying,ensuciado,dirtied
to dirty,Subjunctive,Past Perfect,I had dirtied,had dirtied,had dirtied,had dirtied,had dirtied,had dirtied,had dirtied,ensuciar,Subjuntivo,Pluscuamperfecto,hubiera ensuciado,hubieras ensuciado,hubiera ensuciado,hubiéramos ensuciado,hubierais ensuciado,hubieran ensuciado,ensuciando,dirtying,ensuciado,dirtied
to dirty,Imperative Affirmative,Present,Dirty! Don't dirty!,dirty,dirty,dirtys,dirty,dirty,dirty,ensuciar,Imperativo Afirmativo,Presente,,ensucia,ensuciad,,ensucie,ensucien,ensuciando,dirtying,ensuciado,dirtied
to dirty,Imperative Negative,Present,Dirty! Don't dirty!,dirty,dirty,dirtys,dirty,dirty,dirty,ensuciar,Imperativo Negativo,Presente,,no ensucies,no ensuciéis,,no ensucie,no ensucien,ensuciando,dirtying,ensuciado,dirtied
to understand,Indicative,Present,"I understand, am understanding",understand,understand,understands,understand,understand,understand,entender,Indicativo,Presente,entiendo,entiendes,entiende,entendemos,entendéis,entienden,entendiendo,understanding,entendido,understood
to understand,Indicative,Future,I will understand,will understand,will understand,will understand,will understand,will understand,will understand,entender,Indicativo,Futuro,entenderé,entenderás,entenderá,entenderemos,entenderéis,entenderán,entendiendo,understanding,entendido,understood
to understand,Indicative,Imperfect,"I was understanding, used to understand, understood",was understanding,were understanding,was understanding,were understanding,were understanding,were understanding,entender,Indicativo,Imperfecto,entendía,entendías,entendía,entendíamos,entendíais,entendían,entendiendo,understanding,entendido,understood
to understand,Indicative,Preterite,I understood,understood,understood,understood,understood,understood,understood,entender,Indicativo,Pretérito,entendí,entendiste,entendió,entendimos,entendisteis,entendieron,entendiendo,understanding,entendido,understood
to understand,Indicative,Conditional,I would understand,would understand,would understand,would understand,would understand,would understand,would understand,entender,Indicativo,Condicional,entendería,entenderías,entendería,entenderíamos,entenderíais,entenderían,entendiendo,understanding,entendido,understood
to understand,Indicative,Present Perfect,I have understood,have understood,have understood,has understood,have understood,have understood,have understood,entender,Indicativo,Presente perfecto,he entendido,has entendido,ha entendido,hemos entendido,habéis entendido,han entendido,entendiendo,understanding,entendido,understood
to understand,Indicative,Future Perfect,I will have understood,will have understood,will have understood,will have understood,will have understood,will have understood,will have understood,entender,Indicativo,Futuro perfecto,habré entendido,habrás entendido,habrá entendido,habremos entendido,habréis entendido,habrán entendido,entendiendo,understanding,entendido,understood
to understand,Indicative,Past Perfect,I had understood,had understood,had understood,had understood,had understood,had understood,had understood,entender,Indicativo,Pluscuamperfecto,había entendido,habías entendido,había entendido,habíamos entendido,habíais entendido,habían entendido,entendiendo,understanding,entendido,understood
to understand,Indicative,Preterite (Archaic),I had understood,,,,,,,entender,Indicativo,Pretérito anterior,hube entendido,hubiste entendido,hubo entendido,hubimos entendido,hubisteis entendido,hubieron entendido,entendiendo,understanding,entendido,understood
to understand,Indicative,Conditional Perfect,I would have understood,would have understood,would have understood,would have understood,would have understood,would have understood,would have understood,entender,Indicativo,Condicional perfecto,habría entendido,habrías entendido,habría entendido,habríamos entendido,habríais entendido,habrían entendido,entendiendo,understanding,entendido,understood
to understand,Subjunctive,Present,"I understand, am understanding",understand,understand,understands,understand,understand,understand,entender,Subjuntivo,Presente,entienda,entiendas,entienda,entendamos,entendáis,entiendan,entendiendo,understanding,entendido,understood
to understand,Subjunctive,Imperfect,"I understood, was understanding",was understanding,were understanding,was understanding,were understanding,were understanding,were understanding,entender,Subjuntivo,Imperfecto,entendiera,entendieras,entendiera,entendiéramos,entendierais,entendieran,entendiendo,understanding,entendido,understood
to understand,Subjunctive,Future,I will understand,will understand,will understand,will understand,will understand,will understand,will understand,entender,Subjuntivo,Futuro,entendiere,entendieres,entendiere,entendiéremos,entendiereis,entendieren,entendiendo,understanding,entendido,understood
to understand,Subjunctive,Present Perfect,"I have understood, understood",have understood,have understood,has understood,have understood,have understood,have understood,entender,Subjuntivo,Presente perfecto,haya entendido,hayas entendido,haya entendido,hayamos entendido,hayáis entendido,hayan entendido,entendiendo,understanding,entendido,understood
to understand,Subjunctive,Future Perfect,I will have understood,will have understood,will have understood,will have understood,will have understood,will have understood,will have understood,entender,Subjuntivo,Futuro perfecto,hubiere entendido,hubieres entendido,hubiere entendido,hubiéremos entendido,hubiereis entendido,hubieren entendido,entendiendo,understanding,entendido,understood
to understand,Subjunctive,Past Perfect,I had understood,had understood,had understood,had understood,had understood,had understood,had understood,entender,Subjuntivo,Pluscuamperfecto,hubiera entendido,hubieras entendido,hubiera entendido,hubiéramos entendido,hubierais entendido,hubieran entendido,entendiendo,understanding,entendido,understood
to understand,Imperative Affirmative,Present,Understand! Don't understand!,understand,understand,understands,understand,understand,understand,entender,Imperativo Afirmativo,Presente,,entiende,entended,,entienda,entiendan,entendiendo,understanding,entendido,understood
to understand,Imperative Negative,Present,Understand! Don't understand!,understand,understand,understands,understand,understand,understand,entender,Imperativo Negativo,Presente,,no entiendas,no entendáis,,no entienda,no entiendan,entendiendo,understanding,entendido,understood
"to find out [about something], to learn [of something])",Indicative,Present,"I find out, am finding out",find out [about something],find out [about something],find out [about something]s,find out [about something],find out [about something],find out [about something],enterarse,Indicativo,Presente,me entero,te enteras,se entera,nos enteramos,os enteráis,se enteran,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Future,I will find out,will find out [about something],will find out [about something],will find out [about something],will find out [about something],will find out [about something],will find out [about something],enterarse,Indicativo,Futuro,me enteraré,te enterarás,se enterará,nos enteraremos,os enteraréis,se enterarán,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Imperfect,"I was finding out, used to find out, found out",was finding out,were finding out,was finding out,were finding out,were finding out,were finding out,enterarse,Indicativo,Imperfecto,me enteraba,te enterabas,se enteraba,nos enterábamos,os enterabais,se enteraban,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Preterite,I found out,found out,found out,found out,found out,found out,found out,enterarse,Indicativo,Pretérito,me enteré,te enteraste,se enteró,nos enteramos,os enterasteis,se enteraron,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Conditional,I would find out,would find out [about something],would find out [about something],would find out [about something],would find out [about something],would find out [about something],would find out [about something],enterarse,Indicativo,Condicional,me enteraría,te enterarías,se enteraría,nos enteraríamos,os enteraríais,se enterarían,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Present Perfect,I have found out,have found out,have found out,has found out,have found out,have found out,have found out,enterarse,Indicativo,Presente perfecto,me he enterado,te has enterado,se ha enterado,nos hemos enterado,os habéis enterado,se han enterado,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Future Perfect,I will have found out,will have found out,will have found out,will have found out,will have found out,will have found out,will have found out,enterarse,Indicativo,Futuro perfecto,me habré enterado,te habrás enterado,se habrá enterado,nos habremos enterado,os habréis enterado,se habrán enterado,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Past Perfect,I had found out,had found out,had found out,had found out,had found out,had found out,had found out,enterarse,Indicativo,Pluscuamperfecto,me había enterado,te habías enterado,se había enterado,nos habíamos enterado,os habíais enterado,se habían enterado,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Preterite (Archaic),I had found out,,,,,,,enterarse,Indicativo,Pretérito anterior,me hube enterado,te hubiste enterado,se hubo enterado,nos hubimos enterado,os hubisteis enterado,se hubieron enterado,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Indicative,Conditional Perfect,I would have found out,would have found out,would have found out,would have found out,would have found out,would have found out,would have found out,enterarse,Indicativo,Condicional perfecto,me habría enterado,te habrías enterado,se habría enterado,nos habríamos enterado,os habríais enterado,se habrían enterado,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Subjunctive,Present,"I find out, am finding out",find out [about something],find out [about something],find out [about something]s,find out [about something],find out [about something],find out [about something],enterarse,Subjuntivo,Presente,me entere,te enteres,se entere,nos enteremos,os enteréis,se enteren,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Subjunctive,Imperfect,"I found out, was finding out",was finding out,were finding out,was finding out,were finding out,were finding out,were finding out,enterarse,Subjuntivo,Imperfecto,me enterara,te enteraras,se enterara,nos enteráramos,os enterarais,se enteraran,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Subjunctive,Future,I will find out,will find out [about something],will find out [about something],will find out [about something],will find out [about something],will find out [about something],will find out [about something],enterarse,Subjuntivo,Futuro,me enterare,te enterares,se enterare,nos enteráremos,os enterareis,se enteraren,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Subjunctive,Present Perfect,"I have found out, found out",have found out,have found out,has found out,have found out,have found out,have found out,enterarse,Subjuntivo,Presente perfecto,me haya enterado,te hayas enterado,se haya enterado,nos hayamos enterado,os hayáis enterado,se hayan enterado,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Subjunctive,Future Perfect,I will have found out,will have found out,will have found out,will have found out,will have found out,will have found out,will have found out,enterarse,Subjuntivo,Futuro perfecto,me hubiere enterado,te hubieres enterado,se hubiere enterado,nos hubiéremos enterado,os hubiereis enterado,se hubieren enterado,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Subjunctive,Past Perfect,I had found out,had found out,had found out,had found out,had found out,had found out,had found out,enterarse,Subjuntivo,Pluscuamperfecto,me hubiera enterado,te hubieras enterado,se hubiera enterado,nos hubiéramos enterado,os hubierais enterado,se hubieran enterado,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Imperative Affirmative,Present,find out! Don't find out!,find out [about something],find out [about something],find out [about something]s,find out [about something],find out [about something],find out [about something],enterarse,Imperativo Afirmativo,Presente,,entérate,enteraos,,entérese,entérense,enterándose,finding out,enterado,found out
"to find out [about something], to learn [of something])",Imperative Negative,Present,find out! Don't find out!,find out [about something],find out [about something],find out [about something]s,find out [about something],find out [about something],find out [about something],enterarse,Imperativo Negativo,Presente,,no te enteres,no os enteréis,,no se entere,no se enteren,enterándose,finding out,enterado,found out
"to enter, go in, come in",Indicative,Present,"I enter, am entering",enter,enter,enters,enter,enter,enter,entrar,Indicativo,Presente,entro,entras,entra,entramos,entráis,entran,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Future,I will enter,will enter,will enter,will enter,will enter,will enter,will enter,entrar,Indicativo,Futuro,entraré,entrarás,entrará,entraremos,entraréis,entrarán,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Imperfect,"I was entering, used to enter, entered",was entering,were entering,was entering,were entering,were entering,were entering,entrar,Indicativo,Imperfecto,entraba,entrabas,entraba,entrábamos,entrabais,entraban,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Preterite,I entered,entered,entered,entered,entered,entered,entered,entrar,Indicativo,Pretérito,entré,entraste,entró,entramos,entrasteis,entraron,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Conditional,I would enter,would enter,would enter,would enter,would enter,would enter,would enter,entrar,Indicativo,Condicional,entraría,entrarías,entraría,entraríamos,entraríais,entrarían,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Present Perfect,I have entered,have entered,have entered,has entered,have entered,have entered,have entered,entrar,Indicativo,Presente perfecto,he entrado,has entrado,ha entrado,hemos entrado,habéis entrado,han entrado,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Future Perfect,I will have entered,will have entered,will have entered,will have entered,will have entered,will have entered,will have entered,entrar,Indicativo,Futuro perfecto,habré entrado,habrás entrado,habrá entrado,habremos entrado,habréis entrado,habrán entrado,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Past Perfect,I had entered,had entered,had entered,had entered,had entered,had entered,had entered,entrar,Indicativo,Pluscuamperfecto,había entrado,habías entrado,había entrado,habíamos entrado,habíais entrado,habían entrado,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Preterite (Archaic),I had entered,,,,,,,entrar,Indicativo,Pretérito anterior,hube entrado,hubiste entrado,hubo entrado,hubimos entrado,hubisteis entrado,hubieron entrado,entrando,entering,entrado,entered
"to enter, go in, come in",Indicative,Conditional Perfect,I would have entered,would have entered,would have entered,would have entered,would have entered,would have entered,would have entered,entrar,Indicativo,Condicional perfecto,habría entrado,habrías entrado,habría entrado,habríamos entrado,habríais entrado,habrían entrado,entrando,entering,entrado,entered
"to enter, go in, come in",Subjunctive,Present,"I enter, am entering",enter,enter,enters,enter,enter,enter,entrar,Subjuntivo,Presente,entre,entres,entre,entremos,entréis,entren,entrando,entering,entrado,entered
"to enter, go in, come in",Subjunctive,Imperfect,"I entered, was entering",was entering,were entering,was entering,were entering,were entering,were entering,entrar,Subjuntivo,Imperfecto,entrara,entraras,entrara,entráramos,entrarais,entraran,entrando,entering,entrado,entered
"to enter, go in, come in",Subjunctive,Future,I will enter,will enter,will enter,will enter,will enter,will enter,will enter,entrar,Subjuntivo,Futuro,entrare,entrares,entrare,entráremos,entrareis,entraren,entrando,entering,entrado,entered
"to enter, go in, come in",Subjunctive,Present Perfect,"I have entered, entered",have entered,have entered,has entered,have entered,have entered,have entered,entrar,Subjuntivo,Presente perfecto,haya entrado,hayas entrado,haya entrado,hayamos entrado,hayáis entrado,hayan entrado,entrando,entering,entrado,entered
"to enter, go in, come in",Subjunctive,Future Perfect,I will have entered,will have entered,will have entered,will have entered,will have entered,will have entered,will have entered,entrar,Subjuntivo,Futuro perfecto,hubiere entrado,hubieres entrado,hubiere entrado,hubiéremos entrado,hubiereis entrado,hubieren entrado,entrando,entering,entrado,entered
